temperature_2m_max,temperature_2m_min,temperature_2m_mean,rain,precipitation,windom_max,shortwave_radiation_sum,year,month,day,id
24.8,7.6,15.1,0.0,0.0,12.3,20.65,2022,1,1,"70dd86d8-2e5f-4de1-bb6f-a3dd9cf4bd6d"
24.9,5.4,14.6,0.0,0.0,17.0,20.01,2022,1,2,"25b0d197-c65f-44a2-b024-bd89c048021d"
21.8,6.5,12.8,0.0,0.0,18.2,18.23,2022,1,3,"c17cc8a1-e974-4c20-9b12-d2be1ae87248"
24.1,5.6,14.8,0.0,0.0,18.2,20.42,2022,1,4,"eb9f44df-dec0-4c38-a9dd-1906404487d7"
24.9,6.2,15.5,0.0,0.0,23.7,19.99,2022,1,5,"7731c4aa-016d-42b8-9539-51fc70b4072d"
24.4,8.5,15.2,1.5,2.0,17.5,18.55,2022,1,6,"f49d0d17-4ef6-4c50-9f32-74592d922b80"
22.4,8.4,14.9,0.0,0.0,18.6,16.66,2022,1,7,"df5046ba-370a-435c-a316-5a73a9c815a0"
21.0,7.4,13.7,0.8,1.0,18.7,16.94,2022,1,8,"bf004bd7-4785-484a-9145-788120c1a0a5"
22.9,6.5,14.4,0.0,0.0,11.1,17.91,2022,1,9,"3d0efa1d-6bb2-4949-8845-b094ad2dd972"
20.0,6.1,13.2,0.3,2.0,15.6,15.49,2022,1,10,"bf6f9ab8-0048-43a1-a559-678fd81e57cd"
18.3,8.6,13.0,0.1,1.0,14.6,13.65,2022,1,11,"96ff8d81-e704-4bce-897e-f38283890862"
21.1,5.2,12.5,0.0,0.0,15.2,19.77,2022,1,12,"d8e9ee71-1244-47fc-b9c2-c76b6e122b62"
22.2,5.2,13.1,0.0,0.0,18.3,19.56,2022,1,13,"26b82c2f-eca0-4eaf-98a4-26691b616217"
22.2,8.4,14.1,0.0,0.0,17.4,21.73,2022,1,14,"85fe0cf3-53bb-45a4-bd1f-9849467a6ede"
21.6,5.0,13.4,0.0,0.0,17.9,19.45,2022,1,15,"9718da9c-4c37-4108-8065-869fe49d9233"
20.4,6.5,11.6,2.1,4.0,13.7,17.2,2022,1,16,"dd2dec04-e69f-43ec-b19e-dfa1881eb0fb"
20.2,5.3,12.1,1.0,1.0,14.3,17.33,2022,1,17,"29f43a7d-aea3-4754-b260-51d49baef592"
22.0,5.6,13.5,0.0,0.0,22.3,20.93,2022,1,18,"dce12100-21a3-4bb5-884f-9bb5225f737b"
22.3,6.5,14.1,0.0,0.0,21.8,20.43,2022,1,19,"efa24520-8726-44c0-ac60-4a7441c90e35"
22.3,7.4,14.8,0.0,0.0,24.2,18.63,2022,1,20,"ff3166ff-e021-4d52-a327-b26be9d42011"
19.2,8.0,13.7,0.0,0.0,25.5,13.95,2022,1,21,"5bc56ebd-0127-4b59-b8ac-03559d280b61"
21.0,8.2,14.3,0.9,4.0,20.4,19.36,2022,1,22,"b3bec28d-bd27-403d-bfb3-ff5a66065b83"
21.5,6.7,13.2,0.0,0.0,24.8,20.29,2022,1,23,"66af9325-6e2a-4f4e-85d8-21125cf6a949"
